1	1	1	1000	1	1	1	1	1	1000	3	4	5	3	2	16	15	4	10	9	5	18	1	14	6	15	10	11	20	10	19	26	17	24	19	2	5	7	22	29
1	1	1	1000	1	1	1	1	1	1000	3	5	3	4	1	12	10	14	6	2	6	4	4	16	19	29	30	17	12	18	28	2	29	26	28	30	7	12	21	19
1	1	1	1000	1	1	1	1	1	1000	3	1	4	2	4	7	4	8	5	19	5	13	11	20	13	6	16	4	16	10	13	29	28	14	2	24	22	21	27	14
1	1	1	1000	1	1	1	1	1	1000	3	3	4	4	2	10	10	5	7	12	17	2	8	17	15	7	23	27	5	3	29	21	21	24	8	15	15	5	26	3
1	1	1	1	1	1	1	1	1	1000	4	5	2	4	1	14	13	19	15	18	16	8	19	7	12	10	5	29	20	24	4	5	13	14	23	6	11	5	15	12
1	1	1	1	1	1	1	1	1	1000	3	1	3	3	3	16	14	3	9	3	3	12	19	9	28	20	15	18	10	20	3	8	20	26	5	7	2	19	23	17
1	1	1	1	1	1	1	1	1	1000	4	1	4	2	1	1	19	11	11	15	18	16	1	17	28	28	28	13	20	26	26	7	6	26	21	23	25	27	2	3
1	1	1	1	1	1	1	1	1	1000	1	2	1	2	4	12	14	13	1	8	19	2	10	18	8	16	2	4	16	13	26	23	2	15	7	18	27	16	23	11
1000	1000	1000	1000	1000	1000	1	1	1	1000	1	3	5	3	4	18	5	15	16	3	9	1	12	4	8	23	4	27	14	14	25	9	16	7	7	15	28	15	13	25
1	1	1	1	1	1	1	1	1	1000	1	1	1	2	2	17	1	5	15	15	14	6	1	22	7	5	16	23	16	12	20	8	21	19	30	2	20	28	16	6
1	1	1	1	1	1	1	1	1	1000	2	3	1	1	1	1	9	14	9	14	13	15	7	1	9	23	18	16	19	18	24	1	3	12	5	15	23	27	21	5
1	1	1	1	1	1	1	1	1	1000	1	2	4	3	3	5	19	13	14	11	16	15	18	20	6	11	6	17	18	13	10	17	28	16	21	28	10	12	10	5
1	1	1	1	1	1	1	1	1	1000	3	1	2	3	2	10	11	6	14	1	16	7	11	1	4	8	14	4	20	4	24	20	1	18	12	20	1	29	11	5
1	1	1	1	1	1	1	1	1	1000	1	1	4	3	1	6	20	18	12	5	16	6	2	7	21	18	21	29	8	27	5	12	4	9	10	9	1	13	15	16
1	1	1	1	1	1	1	1	1	1000	3	1	1	1	3	1000	16	16	11	8	4	10	18	25	11	4	27	18	24	27	1	10	21	16	16	2	23	10	28	29
1	1	1	1	1	1	1	1	1	1000	3	1	3	3	1	1000	12	16	3	2	5	19	4	29	12	11	29	23	2	4	11	5	7	30	16	11	3	29	4	10
1	1000	1000	1000	1000	1000	1000	1000	1000	1000	4	4	5	3	4	1000	15	3	15	20	20	4	14	23	19	16	1	5	10	1	6	21	16	15	27	20	16	18	1	20
1	1	1000	1	1	1	1	1	1	1000	1	3	3	4	1	1000	16	19	10	8	9	11	18	18	20	5	13	3	29	10	21	16	13	26	3	30	20	30	19	26
1	1	1000	1	1000	1000	1000	1000	1	1000	1	4	1	2	1	1000	5	14	8	15	2	11	6	21	2	18	21	4	8	23	14	20	9	14	13	6	13	17	1	7
1	1	1000	1	1000	1	1	1	1	1000	3	2	4	4	5	1000	16	4	3	4	5	8	1	18	19	15	14	26	23	26	25	16	27	19	17	22	11	12	3	7
1	1	1000	1	1000	1	1	1	1	1000	5	2	1	4	1	1000	2	1	11	2	6	1	10	25	11	23	26	3	28	24	18	30	1	24	22	14	12	4	25	14
1	1	1000	1	1000	1	1	1	1	1000	2	4	3	1	3	1000	10	8	10	12	1	10	7	21	28	4	3	8	26	1	11	1	10	28	18	17	4	21	25	2
1	1	1000	1	1000	1	1	1	1	1000	4	3	3	3	2	1000	6	10	9	6	12	8	6	25	19	23	27	14	15	25	29	15	19	1	27	14	12	18	27	5
